"","year","iso2c","country.x","nominal.exchange.rate","GDP.per.capita","total.reserves.outof.total.external.debt","external.Debt/GNI","polity2","US.3m.treasury.yield","currency.crisis","lag.GDP.per.capita","lag.total.reserves"
"2066",2002,"MX","Mexico",141.97042854672,8731.22002057444,32.2186433255383,21.577944174421,8,"1.63307666666667",0,8843.9011599615,26.9802792001911
"2270",2003,"MX","Mexico",124.06673913017,8749.77803538703,37.2003812318383,22.6385231024601,8,"1.02120833333333",0,8731.22002057444,32.2186433255383
"2418",2004,"MX","Mexico",116.74503904114,8977.65782114181,38.6976905727122,21.8373413546288,8,"1.38919166666667",0,8749.77803538703,37.2003812318383
"2621",2005,"MX","Mexico",120.54316577978,9059.81048631521,43.3838520050295,20.0814251924107,8,"3.21279166666667",0,8977.65782114181,38.6976905727122
"2783",2006,"MX","Mexico",119.72184302836,9327.73619990954,44.7395176072288,18.0661605350993,8,"4.84720833333333",0,9059.81048631521,43.3838520050295
"2986",2007,"MX","Mexico",116.99977649955,9392.68711204871,44.4756554422786,18.7277555058388,8,"4.45216666666667",0,9327.73619990954,44.7395176072288
"3245",2008,"MX","Mexico",113.68711619673,9347.5242787339,48.211120709462,17.8436147439529,8,"1.36541666666667",0,9392.68711204871,44.4756554422786
"3350",2009,"MX","Mexico",94.25340649091,8712.14059698555,51.6640589885457,21.4261247458549,8,"0.142583333333333",1,9347.5242787339,48.211120709462
"3584",2010,"MX","Mexico",100,9016.45792714789,49.0365275522077,23.1714644614538,8,"0.13375",0,8712.14059698555,51.6640589885457
"3741",2011,"MX","Mexico",100.12741880183,9207.72931722441,51.1364247477237,24.8555500691344,8,"0.051325",0,9016.45792714789,49.0365275522077
"3929",2012,"MX","Mexico",95.37290483033,9405.81316560754,47.8357948901748,29.492151243797,8,"0.0836666666666667",0,9207.72931722441,51.1364247477237
"4148",2013,"MX","Mexico",99.02922089044,9400.32212027627,44.3594296659727,32.6651356561726,8,"0.0535416666666667",0,9405.81316560754,47.8357948901748
"4186",2014,"MX","Mexico",95.79462453595,9532.80383704374,44.2304425159231,34.3437371523811,8,"0.0308333333333333",0,9400.32212027627,44.3594296659727
"4363",2015,"MX","Mexico",84.28708749024,9715.67772371249,41.6009629170928,37.3229265189767,8,"0.0488888888888889",0,9532.80383704374,44.2304425159231
"155",1991,"NG","Nigeria",999.21400039388,1481.33109309323,13.9530316391566,134.448115141602,-5,"5.53416666666667",1,1514.09826948146,12.3400381496494
"379",1992,"NG","Nigeria",636.66128408725,1511.34531035085,4.12166721955195,110.121781583506,-5,"3.50833333333333",1,1481.33109309323,13.9530316391566
